Body data file part 2
n1,n2,n3 = unit normals
 n1            n2             n3
-0.269409E-02 -0.580430E+00   0.814306E+00
 0.000000E+00 -0.535972E+00   0.844236E+00
-0.331101E-01 -0.999104E+00   0.263580E-01
-0.319995E-01 -0.980954E+00   0.191587E+00
-0.294076E-01 -0.939207E+00   0.342089E+00
-0.257673E-01 -0.882124E+00   0.470311E+00
-0.215354E-01 -0.818241E+00   0.574472E+00
-0.170673E-01 -0.753957E+00   0.656702E+00
-0.125890E-01 -0.693077E+00   0.720754E+00
-0.822231E-02 -0.637382E+00   0.770504E+00
-0.402096E-02 -0.587389E+00   0.809295E+00
 0.000000E+00 -0.542941E+00   0.839771E+00
-0.435692E-01 -0.998674E+00   0.274137E-01
-0.421260E-01 -0.981168E+00   0.188506E+00
-0.387779E-01 -0.941136E+00   0.335795E+00
-0.340583E-01 -0.886168E+00   0.462111E+00
-0.285385E-01 -0.824227E+00   0.565539E+00
-0.226733E-01 -0.761436E+00   0.647844E+00
-0.167607E-01 -0.701552E+00   0.712421E+00
-0.109673E-01 -0.646430E+00   0.762895E+00
-0.537163E-02 -0.596691E+00   0.802453E+00
 0.000000E+00 -0.552273E+00   0.833663E+00
-0.538816E-01 -0.998146E+00   0.282974E-01
-0.521278E-01 -0.981456E+00   0.184462E+00
-0.480816E-01 -0.943486E+00   0.327904E+00
-0.423506E-01 -0.891064E+00   0.451897E+00
-0.355983E-01 -0.831494E+00   0.554391E+00
-0.283676E-01 -0.770556E+00   0.636740E+00
-0.210266E-01 -0.711939E+00   0.701927E+00
-0.137904E-01 -0.657569E+00   0.753268E+00
-0.676731E-02 -0.608187E+00   0.793765E+00
 0.000000E+00 -0.563845E+00   0.825881E+00
-0.640910E-01 -0.997524E+00   0.289656E-01
-0.620508E-01 -0.981795E+00   0.179522E+00
-0.573665E-01 -0.946171E+00   0.318543E+00
-0.506942E-01 -0.896666E+00   0.439796E+00
-0.427657E-01 -0.839860E+00   0.541116E+00
-0.341989E-01 -0.781133E+00   0.623427E+00
-0.254291E-01 -0.724070E+00   0.689257E+00
-0.167234E-01 -0.670662E+00   0.741574E+00
-0.822551E-02 -0.621774E+00   0.783154E+00
 0.000000E+00 -0.577582E+00   0.816332E+00
-0.742224E-01 -0.996811E+00   0.293051E-01
-0.719230E-01 -0.982172E+00   0.173679E+00
-0.666633E-01 -0.949124E+00   0.307767E+00
-0.591226E-01 -0.902850E+00   0.425872E+00
-0.500767E-01 -0.849167E+00   0.525745E+00
-0.402040E-01 -0.793004E+00   0.607888E+00
-0.300024E-01 -0.737803E+00   0.674349E+00
-0.197933E-01 -0.685597E+00   0.727712E+00
-0.976155E-02 -0.637372E+00   0.770494E+00
 0.000000E+00 -0.593439E+00   0.804879E+00
-0.842853E-01 -0.996007E+00   0.294162E-01
-0.817532E-01 -0.982545E+00   0.167097E+00
-0.759804E-01 -0.952235E+00   0.295762E+00
-0.676461E-01 -0.909448E+00   0.410278E+00
-0.575462E-01 -0.859217E+00   0.508365E+00
-0.464021E-01 -0.805975E+00   0.590128E+00
-0.347675E-01 -0.752970E+00   0.657135E+00
-0.230189E-01 -0.702250E+00   0.711558E+00
-0.113872E-01 -0.654907E+00   0.755624E+00
 0.000000E+00 -0.611388E+00   0.791331E+00
-0.942786E-01 -0.995112E+00   0.293879E-01
-0.915378E-01 -0.982876E+00   0.159926E+00
-0.853123E-01 -0.955408E+00   0.282697E+00
-0.762603E-01 -0.916302E+00   0.393159E+00
-0.651741E-01 -0.869815E+00   0.489055E+00
-0.527995E-01 -0.819845E+00   0.570146E+00
-0.397360E-01 -0.769398E+00   0.637532E+00
-0.264130E-01 -0.720491E+00   0.692962E+00
-0.131115E-01 -0.674301E+00   0.738340E+00
 0.000000E+00 -0.631401E+00   0.775456E+00
-0.104196E+00 -0.994135E+00   0.289756E-01
-0.101275E+00 -0.983175E+00   0.152022E+00
-0.946588E-01 -0.958615E+00   0.268509E+00
-0.849665E-01 -0.923332E+00   0.374484E+00
-0.729654E-01 -0.880832E+00   0.467772E+00
-0.594065E-01 -0.834463E+00   0.547853E+00
-0.449222E-01 -0.786938E+00   0.615394E+00
-0.299909E-01 -0.740197E+00   0.671721E+00
-0.149451E-01 -0.695471E+00   0.718398E+00
 0.000000E+00 -0.653443E+00   0.756976E+00
-0.114024E+00 -0.993080E+00   0.281004E-01
-0.110956E+00 -0.983428E+00   0.143380E+00
-0.104009E+00 -0.961797E+00   0.253237E+00
-0.937538E-01 -0.930420E+00   0.354300E+00
-0.809122E-01 -0.892102E+00   0.444531E+00
-0.662211E-01 -0.849633E+00   0.523201E+00
-0.503310E-01 -0.805397E+00   0.590595E+00
-0.337613E-01 -0.761206E+00   0.647631E+00
-0.168957E-01 -0.718301E+00   0.695528E+00
 0.000000E+00 -0.677448E+00   0.735571E+00
-0.123748E+00 -0.991950E+00   0.268726E-01
-0.120559E+00 -0.983600E+00   0.134151E+00
-0.113338E+00 -0.964863E+00   0.237051E+00
-0.102594E+00 -0.937413E+00   0.332763E+00
-0.889877E-01 -0.903413E+00   0.419434E+00
-0.732233E-01 -0.865112E+00   0.496206E+00
-0.559521E-01 -0.824529E+00   0.563047E+00
-0.377229E-01 -0.783297E+00   0.620502E+00
-0.189660E-01 -0.742620E+00   0.669445E+00
 0.000000E+00 -0.703313E+00   0.710881E+00
-0.133347E+00 -0.990743E+00   0.254162E-01
-0.130060E+00 -0.983659E+00   0.124496E+00
-0.122614E+00 -0.967733E+00   0.220134E+00
-0.111448E+00 -0.944166E+00   0.310050E+00
-0.971532E-01 -0.914557E+00   0.392615E+00
-0.803803E-01 -0.880639E+00   0.466920E+00
-0.617631E-01 -0.844051E+00   0.532694E+00
-0.418649E-01 -0.806200E+00   0.590160E+00
-0.211540E-01 -0.768199E+00   0.639861E+00
 0.000000E+00 -0.730868E+00   0.682519E+00
-0.142804E+00 -0.989466E+00   0.237286E-01
-0.139439E+00 -0.983593E+00   0.114465E+00
-0.131810E+00 -0.970354E+00   0.202579E+00
-0.120284E+00 -0.950568E+00   0.286274E+00
-0.105372E+00 -0.925350E+00   0.364176E+00
-0.876579E-01 -0.895963E+00   0.435392E+00
-0.677383E-01 -0.863665E+00   0.499494E+00
-0.461729E-01 -0.829602E+00   0.556443E+00
-0.234553E-01 -0.794744E+00   0.606492E+00
 0.000000E+00 -0.759865E+00   0.650081E+00
-0.152101E+00 -0.988125E+00   0.217750E-01
-0.148679E+00 -0.983393E+00   0.104077E+00
-0.140903E+00 -0.972689E+00   0.184454E+00
-0.129071E+00 -0.956523E+00   0.261543E+00
-0.113608E+00 -0.935619E+00   0.334230E+00
-0.950192E-01 -0.910829E+00   0.401700E+00
-0.738469E-01 -0.883044E+00   0.463443E+00
-0.506270E-01 -0.853131E+00   0.519235E+00
-0.258617E-01 -0.821874E+00   0.569083E+00
 0.000000E+00 -0.789949E+00   0.613173E+00
-0.161222E+00 -0.986724E+00   0.195765E-01
-0.157760E+00 -0.983051E+00   0.933953E-01
-0.149867E+00 -0.974694E+00   0.165865E+00
