Free surface data file
xf,yf,zf = collocation points
xs,ys,zs = source points
phif = potential on the free surface
sigma = source strength (this is the solution I got)
Number of free surface nodes =  2486
 xf            yf             zf             xs             ys             zs             phif           sigma
 0.240944E+02  0.000000E+00  -0.256845E-03   0.240944E+02   0.000000E+00   0.243209E+00   0.343982E-01   0.115438E-04
 0.248522E+02  0.000000E+00  -0.377731E-03   0.248522E+02   0.000000E+00   0.243088E+00   0.329171E-01   0.239831E-04
 0.256370E+02  0.000000E+00  -0.565214E-03   0.256370E+02   0.000000E+00   0.242901E+00   0.310269E-01   0.720423E-05
 0.264497E+02  0.000000E+00  -0.848633E-03   0.264497E+02   0.000000E+00   0.242617E+00   0.292071E-01   0.108620E-04
 0.272913E+02  0.000000E+00  -0.989468E-03   0.272913E+02   0.000000E+00   0.242476E+00   0.273889E-01   0.103395E-04
 0.281628E+02  0.000000E+00  -0.109946E-02   0.281628E+02   0.000000E+00   0.242366E+00   0.255324E-01   0.907223E-05
 0.290654E+02  0.000000E+00  -0.107070E-02   0.290654E+02   0.000000E+00   0.242395E+00   0.236880E-01   0.142432E-04
-0.200000E+02  0.163636E+00   0.108845E-02  -0.200000E+02   0.163636E+00   0.257734E+00  -0.320193E-01  -0.761096E-04
-0.192860E+02  0.163636E+00   0.108845E-02  -0.192860E+02   0.163636E+00   0.257734E+00  -0.320193E-01   0.374612E-04
-0.186100E+02  0.163636E+00   0.187571E-02  -0.186100E+02   0.163636E+00   0.258522E+00  -0.330643E-01   0.568122E-04
-0.179700E+02  0.163636E+00   0.251624E-02  -0.179700E+02   0.163636E+00   0.259162E+00  -0.355742E-01   0.270663E-04
-0.173640E+02  0.163636E+00   0.279717E-02  -0.173640E+02   0.163636E+00   0.259443E+00  -0.385759E-01   0.585468E-05
-0.167902E+02  0.163636E+00   0.299329E-02  -0.167902E+02   0.163636E+00   0.259639E+00  -0.415266E-01   0.941516E-05
-0.162470E+02  0.163636E+00   0.326099E-02  -0.162470E+02   0.163636E+00   0.259907E+00  -0.445193E-01   0.155191E-04
-0.157326E+02  0.163636E+00   0.358073E-02  -0.157326E+02   0.163636E+00   0.260227E+00  -0.477443E-01   0.138637E-04
-0.152456E+02  0.163636E+00   0.385640E-02  -0.152456E+02   0.163636E+00   0.260502E+00  -0.511629E-01   0.223421E-05
-0.147845E+02  0.163636E+00   0.417041E-02  -0.147845E+02   0.163636E+00   0.260816E+00  -0.547376E-01   0.388114E-04
-0.143480E+02  0.163636E+00   0.459815E-02  -0.143480E+02   0.163636E+00   0.261244E+00  -0.586016E-01   0.209228E-04
-0.139346E+02  0.163636E+00   0.502725E-02  -0.139346E+02   0.163636E+00   0.261673E+00  -0.627764E-01   0.184621E-04
-0.135433E+02  0.163636E+00   0.552569E-02  -0.135433E+02   0.163636E+00   0.262172E+00  -0.672668E-01   0.366302E-04
-0.131727E+02  0.163636E+00   0.610119E-02  -0.131727E+02   0.163636E+00   0.262747E+00  -0.721251E-01   0.416810E-04
-0.128219E+02  0.163636E+00   0.675673E-02  -0.128219E+02   0.163636E+00   0.263403E+00  -0.773819E-01   0.407588E-04
-0.124897E+02  0.163636E+00   0.751324E-02  -0.124897E+02   0.163636E+00   0.264159E+00  -0.830709E-01   0.386487E-04
-0.121752E+02  0.163636E+00   0.841038E-02  -0.121752E+02   0.163636E+00   0.265056E+00  -0.892576E-01   0.822860E-04
-0.118774E+02  0.163636E+00   0.946513E-02  -0.118774E+02   0.163636E+00   0.266111E+00  -0.960365E-01  -0.525488E-04
-0.115955E+02  0.163636E+00   0.105197E-01  -0.115955E+02   0.163636E+00   0.267166E+00  -0.103390E+00   0.248161E-03
-0.113286E+02  0.163636E+00   0.122814E-01  -0.113286E+02   0.163636E+00   0.268927E+00  -0.111572E+00   0.137392E-03
-0.110758E+02  0.163636E+00   0.143556E-01  -0.110758E+02   0.163636E+00   0.271002E+00  -0.120900E+00   0.960137E-04
-0.108365E+02  0.163636E+00   0.169981E-01  -0.108365E+02   0.163636E+00   0.273644E+00  -0.131577E+00   0.106009E-03
-0.106099E+02  0.163636E+00   0.205179E-01  -0.106099E+02   0.163636E+00   0.277164E+00  -0.143967E+00   0.160889E-03
-0.103954E+02  0.163636E+00   0.253465E-01  -0.103954E+02   0.163636E+00   0.281992E+00  -0.158552E+00   0.436433E-03
-0.101923E+02  0.163636E+00   0.324906E-01  -0.101923E+02   0.163636E+00   0.289137E+00  -0.176320E+00  -0.293159E-03
-0.100000E+02  0.176079E+00   0.438124E-01  -0.100000E+02   0.176079E+00   0.300458E+00  -0.198072E+00   0.365654E-02
-0.980769E+01  0.208437E+00   0.617095E-01  -0.980769E+01   0.208437E+00   0.318355E+00  -0.228541E+00  -0.325043E-01
-0.960458E+01  0.254207E+00   0.874425E-01  -0.960458E+01   0.254207E+00   0.344088E+00  -0.270217E+00   0.204885E-01
-0.939006E+01  0.300863E+00   0.123219E+00  -0.939006E+01   0.300863E+00   0.379865E+00  -0.331780E+00   0.417346E-01
-0.916349E+01  0.348310E+00   0.164294E+00  -0.916349E+01   0.348310E+00   0.420940E+00  -0.431799E+00   0.369855E-01
-0.892419E+01  0.396435E+00   0.161707E+00  -0.892419E+01   0.396435E+00   0.418352E+00  -0.575654E+00  -0.402820E-01
-0.867144E+01  0.445111E+00   0.103897E+00  -0.867144E+01   0.445111E+00   0.360543E+00  -0.672548E+00  -0.460779E-01
-0.840450E+01  0.494194E+00   0.452303E-01  -0.840450E+01   0.494194E+00   0.301876E+00  -0.698759E+00   0.921658E-02
-0.812256E+01  0.543520E+00   0.914302E-02  -0.812256E+01   0.543520E+00   0.265789E+00  -0.679211E+00   0.408275E-01
-0.782478E+01  0.592908E+00  -0.104277E-01  -0.782478E+01   0.592908E+00   0.246218E+00  -0.632907E+00  -0.159131E-01
-0.751028E+01  0.642158E+00  -0.231002E-01  -0.751028E+01   0.642158E+00   0.233546E+00  -0.570024E+00  -0.394160E-01
-0.717810E+01  0.691046E+00  -0.103534E-01  -0.717810E+01   0.691046E+00   0.246293E+00  -0.515415E+00   0.319798E-01
-0.682727E+01  0.739332E+00   0.874070E-02  -0.682727E+01   0.739332E+00   0.265387E+00  -0.498632E+00   0.143980E-01
-0.645673E+01  0.786747E+00  -0.584537E-02  -0.645673E+01   0.786747E+00   0.250801E+00  -0.483055E+00  -0.359071E-01
-0.606537E+01  0.833005E+00  -0.113419E-01  -0.606537E+01   0.833005E+00   0.245304E+00  -0.442242E+00   0.163661E-01
-0.565202E+01  0.877790E+00  -0.428723E-02  -0.565202E+01   0.877790E+00   0.252359E+00  -0.413034E+00  -0.232501E-02
-0.521546E+01  0.920763E+00  -0.116580E-01  -0.521546E+01   0.920763E+00   0.244988E+00  -0.381541E+00  -0.137732E-01
-0.475436E+01  0.961555E+00  -0.108164E-01  -0.475436E+01   0.961555E+00   0.245830E+00  -0.344445E+00   0.638227E-02
-0.426737E+01  0.999761E+00  -0.110812E-01  -0.426737E+01   0.999761E+00   0.245565E+00  -0.311488E+00  -0.848808E-02
-0.375302E+01  0.103494E+01  -0.118452E-01  -0.375302E+01   0.103494E+01   0.244801E+00  -0.274784E+00  -0.489206E-03
-0.320977E+01  0.106661E+01  -0.105972E-01  -0.320977E+01   0.106661E+01   0.246049E+00  -0.238181E+00   0.331427E-02
-0.263601E+01  0.109422E+01  -0.125168E-01  -0.263601E+01   0.109422E+01   0.244129E+00  -0.200389E+00   0.826175E-02
-0.203001E+01  0.111715E+01  -0.140573E-01  -0.203001E+01   0.111715E+01   0.242589E+00  -0.162119E+00   0.102124E-01
-0.138997E+01  0.113468E+01  -0.152866E-01  -0.138997E+01   0.113468E+01   0.241359E+00  -0.123510E+00   0.817770E-02
-0.713972E+00  0.114597E+01  -0.163551E-01  -0.713972E+00   0.114597E+01   0.240291E+00  -0.834012E-01   0.766752E-02
 0.000000E+00  0.115000E+01  -0.173151E-01   0.000000E+00   0.115000E+01   0.239331E+00  -0.419247E-01   0.655416E-02
 0.713972E+00  0.114597E+01  -0.183583E-01   0.713972E+00   0.114597E+01   0.238288E+00  -0.756331E-03   0.578239E-02
 0.138997E+01  0.113468E+01  -0.194993E-01   0.138997E+01   0.113468E+01   0.237147E+00   0.386408E-01   0.516924E-02
 0.203001E+01  0.111715E+01  -0.206847E-01   0.203001E+01   0.111715E+01   0.235961E+00   0.768646E-01   0.473868E-02
 0.263601E+01  0.109422E+01  -0.218815E-01   0.263601E+01   0.109422E+01   0.234764E+00   0.114370E+00   0.449092E-02
 0.320977E+01  0.106661E+01  -0.230609E-01   0.320977E+01   0.106661E+01   0.233585E+00   0.151342E+00   0.433047E-02
 0.375302E+01  0.103494E+01  -0.242277E-01   0.375302E+01   0.103494E+01   0.232418E+00   0.187851E+00   0.422195E-02
 0.426737E+01  0.999761E+00  -0.253008E-01   0.426737E+01   0.999761E+00   0.231345E+00   0.223883E+00   0.413569E-02
 0.475436E+01  0.961555E+00  -0.263420E-01   0.475436E+01   0.961555E+00   0.230304E+00   0.259364E+00   0.400259E-02
 0.521546E+01  0.920763E+00  -0.274618E-01   0.521546E+01   0.920763E+00   0.229184E+00   0.294465E+00   0.381139E-02
 0.565202E+01  0.877790E+00  -0.284603E-01   0.565202E+01   0.877790E+00   0.228186E+00   0.329323E+00   0.358907E-02
 0.606537E+01  0.833005E+00  -0.291788E-01   0.606537E+01   0.833005E+00   0.227467E+00   0.363660E+00   0.330735E-02
 0.645673E+01  0.786747E+00  -0.296851E-01   0.645673E+01   0.786747E+00   0.226961E+00   0.397116E+00   0.290878E-02
 0.682727E+01  0.739332E+00  -0.301258E-01   0.682727E+01   0.739332E+00   0.226520E+00   0.429629E+00   0.244329E-02
