Body data file part 1
xf,yf,zf = collocation points
xs,ys,zs = source points
dphifdn = Body boundary condition
sigma = source strength (this is the solution I got)
Number of body nodes =   510
 xf            yf             zf             xs             ys             zs             dphifn         sigma
-0.606537E+01  0.643834E+00  -0.283019E+00  -0.604144E+01   0.424326E+00  -0.229055E+00  -0.312244E+00  -0.253911E-02
-0.606537E+01  0.601585E+00  -0.421159E+00  -0.604372E+01   0.389085E+00  -0.343419E+00  -0.282441E+00  -0.189043E-02
-0.606537E+01  0.542761E+00  -0.559299E+00  -0.604664E+01   0.339001E+00  -0.460307E+00  -0.244342E+00  -0.175679E-02
-0.606537E+01  0.467361E+00  -0.697439E+00  -0.605002E+01   0.273392E+00  -0.579929E+00  -0.200288E+00  -0.125354E-03
-0.606537E+01  0.375384E+00  -0.835580E+00  -0.605369E+01   0.191669E+00  -0.702236E+00  -0.152368E+00  -0.270112E-02
-0.606537E+01  0.266832E+00  -0.973720E+00  -0.605753E+01   0.933832E-01  -0.827015E+00  -0.102254E+00   0.738330E-02
-0.606537E+01  0.141704E+00  -0.111186E+01  -0.606145E+01   0.000000E+00  -0.953974E+00  -0.511811E-01  -0.703071E-02
-0.606537E+01  0.000000E+00  -0.125000E+01  -0.606537E+01   0.000000E+00  -0.108280E+01   0.000000E+00   0.341635E-02
-0.565202E+01  0.723950E+00  -0.129139E-01  -0.562766E+01   0.491636E+00  -0.101336E-01  -0.309336E+00  -0.934493E-02
-0.565202E+01  0.713550E+00  -0.150368E+00  -0.562823E+01   0.483385E+00  -0.118293E+00  -0.302073E+00   0.567056E-03
-0.565202E+01  0.685640E+00  -0.287822E+00  -0.562971E+01   0.460960E+00  -0.227891E+00  -0.283340E+00  -0.373705E-02
-0.565202E+01  0.640221E+00  -0.425276E+00  -0.563194E+01   0.423692E+00  -0.339936E+00  -0.254972E+00  -0.133690E-02
-0.565202E+01  0.577292E+00  -0.562730E+00  -0.563475E+01   0.370730E+00  -0.455005E+00  -0.219328E+00  -0.181006E-02
-0.565202E+01  0.496853E+00  -0.700184E+00  -0.563794E+01   0.301247E+00  -0.573255E+00  -0.178755E+00  -0.729342E-04
-0.565202E+01  0.398904E+00  -0.837638E+00  -0.564137E+01   0.214567E+00  -0.694540E+00  -0.135248E+00  -0.234105E-02
-0.565202E+01  0.283446E+00  -0.975092E+00  -0.564491E+01   0.110207E+00  -0.818541E+00  -0.903159E-01   0.696889E-02
-0.565202E+01  0.150478E+00  -0.111255E+01  -0.564848E+01   0.000000E+00  -0.944876E+00  -0.450083E-01  -0.704938E-02
-0.565202E+01  0.000000E+00  -0.125000E+01  -0.565202E+01   0.000000E+00  -0.107317E+01   0.000000E+00   0.354478E-02
